Words,Decision
"show,hn,godspe,fast,keyboard,orient,todo,app,mac",yes
"stabil,ai,introduc,stabl,video,3d",yes
"year,not,even,wrong",yes
"youtub,requir,label,realistic-look,video,made,us,ai",yes
"long,covid,brain,fog,mai,due,damag,blood,vessel,brain",yes
"climat,chang,speed,major,indic,blow,off,chart,wmo,warn,www.bloomberg.com",yes
"shatter,pixel,dungeon,open-sourc,tradit,roguelik,dungeon,crawler,github.com",yes
"show,hn,gritql,rust,cli,rewrit,sourc,code,github.com",yes
"show,hn,person,knowledg,base,visual,github.com",yes
"intel,receiv,5b,grant,build,chip,plant,www.nytimes.com",yes
"sequenti,parallel,execut,long-run,shell,command,github.com",yes
"hiddenvm,us,desktop,os,without,leav,trace,github.com",yes
